"MATCH_ID","SEASON","DATE_TIME","YEAR","HOME_TEAM","AWAY_TEAM","STADIUM","Cities","HOME_TEAM_SCORE","AWAY_TEAM_SCORE","Winner","PENALTY_SHOOT_OUT","ATTENDANCE"
"mt145","2020-2021","25-NOV-20 08.00.00.000000000 PM","2020","Inter","Real Madrid","Giuseppe Meazza","Milan","0","2","Away","0","0"
"mt146","2020-2021","01-DEC-20 05.55.00.000000000 PM","2020","Shakhtar Donetsk","Real Madrid","Olimpiyskyi","Kyiv","2","0","Home","0","0"
"mt147","2020-2021","01-DEC-20 08.00.00.000000000 PM","2020","Bor. Mönchengladbach","Inter","Borussia-Park","Mönchengladbach","2","3","Away","0","0"
"mt148","2020-2021","09-DEC-20 08.00.00.000000000 PM","2020","Inter","Shakhtar Donetsk","Giuseppe Meazza","Milan","0","0","Draw","0","0"
"mt149","2020-2021","09-DEC-20 08.00.00.000000000 PM","2020","Real Madrid","Bor. Mönchengladbach","Alfredo Di Stéfano","Madrid","2","0","Home","0","0"
"mt150","2020-2021","21-OCT-20 08.00.00.000000000 PM","2020","Manchester City","FC Porto","Etihad Stadium","Manchester","3","1","Home","0","0"
"mt151","2020-2021","21-OCT-20 08.00.00.000000000 PM","2020","Olympiakos Piraeus","Olympique Marseille","Georgios Karaiskakis","Piräus","1","0","Home","0","0"
"mt152","2020-2021","27-OCT-20 08.00.00.000000000 PM","2020","FC Porto","Olympiakos Piraeus","Estádio do Dragão","Porto","2","0","Home","0","2450"
"mt153","2020-2021","27-OCT-20 08.00.00.000000000 PM","2020","Olympique Marseille","Manchester City","Vélodrome","Marseille","0","3","Away","0","0"
"mt154","2020-2021","03-NOV-20 08.00.00.000000000 PM","2020","FC Porto","Olympique Marseille","Estádio do Dragão","Porto","3","0","Home","0","0"
"mt155","2020-2021","03-NOV-20 08.00.00.000000000 PM","2020","Manchester City","Olympiakos Piraeus","Etihad Stadium","Manchester","3","0","Home","0","0"
"mt156","2020-2021","25-NOV-20 05.55.00.000000000 PM","2020","Olympiakos Piraeus","Manchester City","Georgios Karaiskakis","Piräus","0","1","Away","0","0"
"mt157","2020-2021","25-NOV-20 08.00.00.000000000 PM","2020","Olympique Marseille","FC Porto","Vélodrome","Marseille","0","2","Away","0","0"
"mt158","2020-2021","01-DEC-20 08.00.00.000000000 PM","2020","FC Porto","Manchester City","Estádio do Dragão","Porto","0","0","Draw","0","0"
"mt159","2020-2021","01-DEC-20 08.00.00.000000000 PM","2020","Olympique Marseille","Olympiakos Piraeus","Vélodrome","Marseille","2","1","Home","0","0"
"mt160","2020-2021","09-DEC-20 08.00.00.000000000 PM","2020","Manchester City","Olympique Marseille","Etihad Stadium","Manchester","3","0","Home","0","1"
"mt161","2020-2021","09-DEC-20 08.00.00.000000000 PM","2020","Olympiakos Piraeus","FC Porto","Georgios Karaiskakis","Piräus","0","2","Away","0","0"
"mt162","2020-2021","21-OCT-20 08.00.00.000000000 PM","2020","AFC Ajax","Liverpool FC","Johan Cruijff ArenA","Amsterdam","0","1","Away","0","0"
"mt163","2020-2021","21-OCT-20 08.00.00.000000000 PM","2020","FC Midtjylland","Atalanta","MCH Arena","Herning","0","4","Away","0","132"
"mt164","2020-2021","27-OCT-20 08.00.00.000000000 PM","2020","Atalanta","AFC Ajax","Gewiss Stadium","Bergamo","2","2","Draw","0","0"
"mt165","2020-2021","27-OCT-20 08.00.00.000000000 PM","2020","Liverpool FC","FC Midtjylland","Anfield","Liverpool","2","0","Home","0","0"
"mt166","2020-2021","03-NOV-20 08.00.00.000000000 PM","2020","Atalanta","Liverpool FC","Gewiss Stadium","Bergamo","0","5","Away","0","0"
"mt167","2020-2021","03-NOV-20 08.00.00.000000000 PM","2020","FC Midtjylland","AFC Ajax","MCH Arena","Herning","1","2","Away","0","132"
"mt168","2020-2021","25-NOV-20 08.00.00.000000000 PM","2020","AFC Ajax","FC Midtjylland","Johan Cruijff ArenA","Amsterdam","3","1","Home","0","0"
"mt169","2020-2021","25-NOV-20 08.00.00.000000000 PM","2020","Liverpool FC","Atalanta","Anfield","Liverpool","0","2","Away","0","0"
"mt170","2020-2021","01-DEC-20 08.00.00.000000000 PM","2020","Atalanta","FC Midtjylland","Gewiss Stadium","Bergamo","1","1","Draw","0","0"
