Relative_Date,Stock markets,Values
-60,Values_IT,0.4
-60,Values_BRA,0.27
-59,Values_ARG,-1.02
-59,Values_FR,-0.13
-59,Values_DE,0.54
-59,Values_ES,-3.32
-59,Values_IT,0.55
-59,Values_BRA,-0.28
-58,Values_ARG,-0.77
-58,Values_FR,-0.77
-58,Values_DE,0
-58,Values_ES,0.81
-58,Values_IT,-0.32
-58,Values_BRA,-0.32
-57,Values_ARG,-0.25
-57,Values_FR,-0.25
-57,Values_DE,-1.01
-57,Values_ES,-1.11
-57,Values_IT,-0.31
-57,Values_BRA,-4.25
-56,Values_ARG,2.06
-56,Values_FR,0.41
-56,Values_DE,-0.28
-56,Values_ES,-6.64
-56,Values_IT,-1.52
-56,Values_BRA,1.11
-55,Values_ARG,1.11
-55,Values_FR,0.05
-55,Values_DE,0.05
-55,Values_ES,0.05
-55,Values_IT,0.05
-55,Values_BRA,0.05
-54,Values_ARG,0.05
-54,Values_FR,-1.32
-54,Values_DE,-1.32
-54,Values_ES,-1.32
-54,Values_IT,-1.32
-54,Values_BRA,-1.32
-53,Values_ARG,0.57
-53,Values_FR,-0.31
-53,Values_DE,0.31
-53,Values_ES,-0.31
-53,Values_IT,-1.23
-53,Values_BRA,-1.73
-52,Values_ARG,3.02
-52,Values_FR,-0.11
-52,Values_DE,-0.21
-52,Values_ES,3.68
-52,Values_IT,0.18
-52,Values_BRA,-1.54
-51,Values_ARG,0.74
-51,Values_FR,0.74
-51,Values_DE,0.61
-51,Values_ES,-2.61
-51,Values_IT,-2.85
-51,Values_BRA,2.61
-50,Values_ARG,2.12
-50,Values_FR,2.12
-50,Values_DE,0.24
-50,Values_ES,-1.13
-50,Values_IT,-0.1
-50,Values_BRA,-4.52
-49,Values_ARG,-0.18
-49,Values_FR,-0.61
-49,Values_DE,0.48
-49,Values_ES,1.48
-49,Values_IT,0.57
-49,Values_BRA,1.26
-48,Values_ARG,1.26
-48,Values_FR,-1.29
-48,Values_DE,-1.29
-48,Values_ES,-1.29
-48,Values_IT,-1.29
-48,Values_BRA,-1.29
-47,Values_ARG,-1.29
-47,Values_FR,-0.2
-47,Values_DE,-0.2
-47,Values_ES,-0.2
-47,Values_IT,-0.2
-47,Values_BRA,-0.2
-46,Values_ARG,1.42
-46,Values_FR,-0.53
-46,Values_DE,1.28
-46,Values_ES,-1.27
-46,Values_IT,-3.76
-46,Values_BRA,-1.63
-45,Values_ARG,2.04
-45,Values_FR,1.24
-45,Values_DE,0.49
-45,Values_ES,-3.05
-45,Values_IT,1.82
-45,Values_BRA,2.12
-44,Values_ARG,-2.41
-44,Values_FR,-2.41
-44,Values_DE,-0.02
-44,Values_ES,0.42
-44,Values_IT,-0.65
-44,Values_BRA,0.88
-43,Values_ARG,0.76
-43,Values_FR,0.76
-43,Values_DE,0
-43,Values_ES,3.23
-43,Values_IT,1.45
-43,Values_BRA,2.63
-42,Values_ARG,0.54
-42,Values_FR,0.14
-42,Values_DE,0.04
-42,Values_ES,0.97
-42,Values_IT,1.18
-42,Values_BRA,0.12
-41,Values_ARG,0.12
-41,Values_FR,-0.22
-41,Values_DE,-0.22
-41,Values_ES,-0.22
-41,Values_IT,-0.22
-41,Values_BRA,-0.22
-40,Values_ARG,-0.22
-40,Values_FR,-0.06
-40,Values_DE,-0.06
-40,Values_ES,-0.06
-40,Values_IT,-0.06
-40,Values_BRA,-0.06
-39,Values_ARG,-2.27
-39,Values_FR,-0.17
-39,Values_DE,0.07
-39,Values_ES,-0.7
-39,Values_IT,-0.07
-39,Values_BRA,-0.56
-38,Values_ARG,0.06
-38,Values_FR,0.03
-38,Values_DE,-0.31
-38,Values_ES,-0.64
-38,Values_IT,-2.18
-38,Values_BRA,0.35
-37,Values_ARG,-3.27
-37,Values_FR,-3.27
-37,Values_DE,0.07
-37,Values_ES,-0.34
-37,Values_IT,1.83
-37,Values_BRA,-2.95
-36,Values_ARG,1.25
-36,Values_FR,1.25
-36,Values_DE,0.21
-36,Values_ES,0.09
-36,Values_IT,0.39
-36,Values_BRA,1.27
-35,Values_ARG,3.82
-35,Values_FR,0.43
-35,Values_DE,0.4
-35,Values_ES,-3.8
-35,Values_IT,-0.17
-35,Values_BRA,0.01
-34,Values_ARG,0.01
-34,Values_FR,-0.38
-34,Values_DE,-0.38
-34,Values_ES,-0.38
-34,Values_IT,-0.38
