"YEAR","Cities"
"2017","Barcelona"
"2017","Turin"
"2017","Leicester"
"2017","Monaco"
"2017","Turin"
"2017","Madrid"
"2017","Madrid"
"2017","Monaco"
"2017","Madrid"
"2017","Turin"
"2017","Madrid"
