"YEAR","Cities"
"2017","Manchester"
"2017","Moscow"
"2017","Basel"
"2017","Manchester"
"2017","Munich"
"2017","Paris"
"2017","Munich"
"2017","Paris"
"2017","Paris"
"2017","Munich"
"2017","London"
"2017","Rome"
"2017","Madrid"
"2017","Rome"
"2017","Barcelona"
"2017","Turin"
"2017","Barcelona"
"2017","Turin"
"2017","Lisbon"
"2017","Barcelona"
"2017","Sevilla"
"2017","Moscow"
"2017","Sevilla"
"2017","Liverpool"
"2017","Liverpool"
"2017","Kharkiv"
"2017","Manchester"
"2017","Naples"
"2017","Manchester"
"2017","Kharkiv"
"2017","Naples"
"2017","Manchester"
"2017","Kharkiv"
"2017","Rotterdam"
"2017","Istanbul"
"2017","Leipzig"
"2017","Porto"
"2017","Porto"
"2017","London"
"2017","Madrid"
"2017","London"
"2017","Madrid"
"2017","London"
"2018","Madrid"
"2018","Munich"
"2018","Kharkiv"
"2018","Rome"
"2018","Barcelona"
"2018","Barcelona"
"2018","Liverpool"
"2018","Rome"
"2018","Liverpool"
"2018","Rome"
"2018","Kyiv"
"2016","London"
"2016","London"
"2016","Paris"
"2016","Naples"
"2016","Lisbon"
"2016","Kyiv"
"2016","Barcelona"
"2016","Manchester"
"2016","Barcelona"
"2016","Manchester"
"2016","Barcelona"
"2016","Munich"
"2016","Madrid"
"2016","Munich"
"2016","Madrid"
"2016","Rostov-na-Donu"
"2016","Madrid"
"2016","Munich"
"2016","Monaco"
"2016","Monaco"
"2016","Leverkusen"
"2016","London"
"2016","Madrid"
"2016","Lisbon"
"2016","Madrid"
"2016","Dortmund"
"2016","Dortmund"
"2016","Warszawa"
"2016","København"
"2016","Leicester"
"2016","Leicester"
"2016","Porto"
"2016","Leicester"
"2016","Porto"
"2016","Décines-Charpieu"
"2016","Sevilla"
"2016","Sevilla"
"2016","Turin"
"2017","Lisbon"
"2017","Paris"
"2017","Madrid"
"2017","Munich"
"2017","Manchester"
"2017","Sevilla"
"2017","Dortmund"
